工单编号,工单标题,工单内容,推送时间,承办单位,问题分类,问题点位
网络-260607-041763,汉庭北京三里屯SOHO太古里酒店未按规定对公用杯具进行清洗消毒问题#京通#,"工单来源：京通，此工单内容为网民留言时填写的标题及原文。
============================= 
留言标题：汉庭北京三里屯SOHO太古里酒店***存在未按规定对公用杯具进行清洗消毒的违法行为
留言原文：举报汉庭北京三里屯SOHO太古里酒店***存在未按规定对公用杯具进行清洗消毒的违法行为。该单位提供可重复使用的杯具，但未设置专用的杯具清洗消毒间清洗消毒过程违规：‌ 该单位员工在客房洗手盆、水池等非专用区域对杯具进行简单冲洗，违规使用便捷式消毒柜未正常启动或未达到规定的消毒温度与时间；未经有效消毒未合规未使用合规的物理或化学消毒方法，未能保证消毒效果。‌‌‌违反操作规范：‌其清洗消毒过程不符合《公共场所卫生管理规范》(GB 37487-2019)中关于公共用品用具清洗消毒应选择合适方法、过程规范、保证效果的要求。‌‌‌未按规定记录：‌ 未对杯具清洗消毒过程（如消毒时间、人员、方法、物品种类数量等）进行记录并造假未按照房间数配备红外线消毒柜，无清洁消毒监控视频且84消毒液过期，依法责令行政处罚吊销许可证上述行为违反了以下规定：《公共场所卫生管理条例实施细则》第十四条关于公共场所经营者应当按照卫生标准、规范的要求对公共用品用具进行清洗、消毒的规定。‌‌《公共场所卫生管理规范》(GB 37487-2019) 中关于公共用品用具清洗消毒的具体要求。‌‌《公共场所设计卫生规范 第2部分：住宿场所》(GB 37489.2-2019) 中关于应设置专用清洗消毒间的规定‌请求卫生监督部门依法对 进行现场检查，核实上述违法行为，并依据《公共场所卫生管理条例实施细则》第三十六条等相关规定‌‌，对其进行行政处罚，责令整改，以保障公众健康
市民填写的详细地址为：区：朝阳区街道：不详详细地址：北京市朝阳区工体中纺 里***号",2026-06-07 18:06:58,朝阳区分中心,旅游>旅游住宿>服务质量,北京市朝阳区工体***
热线-260402-062267,没有收费标准不合理问题,市民反映，地址：朝阳区北四环红星美凯龙惠达卫浴，自己家里有一个浴室盆损坏了，自己已经报修半年了对方都没有来，最近来了以后对方没有任何的鉴定就直接拆装了，并且说多少钱就是多少钱，对方也没有收费标准，自己打了对方的客服的电话，但是都是没有标准的，对此自己不认可，来电反映没有收费标准不合理问题。,2026-04-02 18:16:58,朝阳区分中心,市场管理>市场环境秩序>消费场所管理和环境,北京市朝阳区朝阳路***
热线-260427-050643,债权人申报问题,企业反映，企业名称：北京***公司，注册地址：北京市东城区朝阳门北小街4号楼4-4号，企业注意到北京***公司发了减资公告，从3千万减到5万，北京蓝色港湾注册地址：北京市朝阳区朝阳公园路***，来电企业看到了公告的联系方式，想做债权人申报，但是打电话过去，接电的工作人员表示他只是代办，找不到蓝色港湾，联系了也不回应，到现场也说不管，对方在工商留了一个假电话，来电企业表示已经拿到了法院的胜诉判决，让北京蓝色港湾还钱，但是就是没有人处理，北京蓝色港湾已经向工商提交了债权人申报，工商也说材料全了他们就可以办，债权人公示期不接电话，导致来电企业没法在公示期索要北京蓝色港湾的债券，按照规定需要获得债券人的同意，才能办理减资，希望市场监督管理局督促北京蓝色港湾联系债权人，先完成债权登记，再减资，来电反映债权人申报问题。,2026-04-27 15:49:21,朝阳区分中心,企业服务>市场管理>变更,北京市朝阳区朝阳公园路6号院2号楼4-1-北京蓝色港湾商业管理有限公司
热线-260603-063099,物业不让业主停车问题,市民反映，在顺义区仁和镇太平村回迁小区，物业在地上安装地桩不让业主停车，来电反映物业不让业主停车问题。,2026-06-03 17:49:44,顺义区仁和镇,物业管理>小区停车秩序管理>物业私自安装停车管理设施,不详
网络-260113-006634,上地七街公交站上方的路灯故障问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：供电
留言原文：2026 年 1 月 12 日 18:14
马路东侧，上地七街公交站上方的路灯一闪一闪的，有时会好一阵儿 有时又开始闪了
市民填写的详细地址为：区、街道：海淀区上地街道详细地址：上地七街",2026-01-13 09:00:49,市城市照明管理中心（城市管理委员会）,市政>路灯照明>市政路灯,上地七街
网络-260323-010736,强烈反对清河北侧路道路建设方案问题#微信服务号#  ,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：强烈反对清河北侧路（永泰中路-黑泉路段）道路建设方案 我们买房子时开发商说，小区南侧有小花园，绿地，我们才买的高价房。我们居住20多年，没有任何部门告知居民，小区花园可以修主干路
留言原文：
强烈反对清河北侧路（永泰中路-黑泉路段）道路建设方案
我们买房子时开发商说，小区南侧有小花园，绿地，我们才买的高价房。我们居住20多年，没有任何部门告知居民，小区花园是政府的，可以修主干路。距离居民楼仅10米。最近惊闻要在小区南边修建一条清河北侧路，而且永泰中路-黑泉路段道路建设方案已经研究完成，并进入工程招标阶段。我是清缘东里小区业主，作为道路利害关系人，我们小区全体居民、居委会和业委会全部都对和自身居住环境密切相关的道路工程一无所知。强烈质疑该条道路在规划和设计阶段程序违法，并未进行社会风险评估，并向周边居民公布建设方案，征求公众意见。我们要求立即停止该条道路的工程招标进程，重新举办听证会，公开规划许可文件，征求并尊重公众意见，调整道路建设方案。
市民填写的详细地址为：区、街道：海淀区西三旗街道详细地址：北京市海淀区西三旗街道***",2026-03-23 09:29:35,海淀区分中心,市政>区属道路>建设,北京市海淀区西三旗街道清缘东里8号楼
热线-260320-057422,协调医院赔偿问题,市民反映，平谷区妇幼保健院妇产科，剖腹产的时候医生给自己注射的麻醉剂，注射过量，导致昏迷了，之后到县医院进行抢救，在做B超时候，没有检查出来孩子有先天性疾病，自己认为不合理，医调委说可以赔偿5000元，自己不认可，没有人跟自己联系过，医调委已经判定是医院责任，现在对于医院的回复不认可，要求职能部门继续处理，市民称无人联系，自己已经在医调委做过相关鉴定，说医院处理确实有问题，鉴定结果是有赔偿，但是医院一直说是自身原因，麻醉其实是局部麻醉，但是到最后自己都昏迷了，医院还是不承认，医院回复推卸责任说他们没有责任是自己自身的原因，院长回复意思是说没有死亡不算是医疗事故，医调委判了医院赔偿，肯定是医院有责任在先，问题没有解决，尽快解决问题，市民表示问题没有得到解决，也没有联系自己，来电反映协调医院赔偿问题。,2026-03-20 17:18:45,平谷区分中心,卫生健康>医疗服务>医疗事故,北京市平谷区南岔子街49号-平谷区妇幼保健院
热线-260602-077673,施工安全隐患问题/保密,"市民反映，通州区宋庄镇宋庄东街201号如你所院烧烤，6月2号之前都拉警戒线了，现在在施工没有拉警戒线，市民骑车差点摔倒，希望核实处理，来电反映施工安全隐患问题。
注：市民要求保密个人信息。",2026-06-02 23:10:07,通州区宋庄镇,城乡建设>施工管理>施工安全隐患,北京市通州区宋庄东街***
热线-260612-057067,北京万兴建筑集团有限公司拖欠工程款问题,"1. 是否为在校学生或退休返聘人员：否 2.是否已进入仲裁或诉讼程序：否 3.是否签订劳动合同：是 4.具体工作地址（用工地）：大兴区长子营镇建设美丽新农村项目 5.工作单位名称及负责人：总包：大兴区万兴集团，负责人姓名马***，联系方式：***，长子营镇政府，党委书记姓名：黄***，项目负责人姓名：韩***，联系电话：***. 6.拖欠工资时间及金额：从2019年9月完工后，分期付款，现在还拖欠工资320多万元钱 7.被拖欠工资原因：因长子营镇政府没有拨款 8.具体诉求：市民反映，长子营镇政府的负责人告知自己资金紧张，无法支付，市民不认可，市民表示不需要长子营镇政府的联系自己，要求区政府的联系自己，市民称长子营镇来电说时间太久了无法处理，市民称身后背负了无数个家庭，一个家庭好几口人，6月8日市民称问题未解决，要求再次反映。6月12日，市民称没有人联系自己，反映拖欠工资问题在2年前已经沟通过，但一直没有处理。来电反映北京万兴建筑集团有限公司拖欠工程款问题。
 注：市民表示自己电话设置了限制打电话前请先发送短信。

",2026-06-12 17:24:23,大兴区分中心,劳动和社会保障>拖欠工资>工程建设领域,北京市大兴区长子营镇东北台村村民委员会-东北台村
网络-260326-008823,国贸桥公交车违章停车问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：国贸桥公交车违规停车
留言原文：国贸桥南通行马路上随时都有公交车在违规停车影响交通安全，为什么没有人处理？
市民填写的详细地址为：区、街道：朝阳区呼家楼街道详细地址：国贸桥
注：详情见附件。",2026-03-26 09:14:44,市交管局,交通管理>停车管理>违章停车,国贸桥
热线-260520-056759,咨询规划用途,市民咨询，丰台区花乡街道京投银泰万科西华府南侧的一块空地的规划用途，是想建商业还是住宅，是附近的小区居民，怕以后的建设会受到影响。来电咨询规划用途。,2026-05-20 16:55:51,丰台区分中心,城乡建设>规划设计>城市规划,北京市丰台区郭公庄南街***
热线-260205-051779,核实案件进展的问题,市民反映，被打人：窦国庆，在2月3日在丰台区被挨打，后续由六里桥派出所进行接警处理，已经做好笔录，但是案件迟迟没有进展，希望相关部门对此进行处理和解决，来电反映核实案件进展的问题。,2026-02-05 16:20:42,市公安局,社会秩序>警务督察>案件进展,不详
热线-260415-032151,租房油烟机掉落以及电网户名户号信息等问题,"1.企业名称：自如
 2.租赁、购房方式：线上平台
 3.企业注册地/门店经营地：北京市密云区经济开发区兴盛南路8号开发区办公楼***
4.租房、购房地址（例如：**省、北京市）：北京市
 5.诉求人身份：业主、租户、购房人或第三方：租户
 6.合同编号/订单号：***
 7.具体问题描述：市民反映，自己于3月7日通过自如在石景山区永乐小区东区***租房，在自己住之前，3月8日盖房屋油烟机第一次发生掉落，自己联系的自如，对方来维修，3月29日油烟机发生第二次掉落又进行维修，4月2日油烟机发生第三次掉落，该房屋油烟机掉落并不是自己的原因导致的，是在搬入之前就出现的问题并不是自己的原因，而且掉落的时候有两次污染了自己的食材，要求自如这次将油烟机彻底维修好，不要再出现这样的问题，要么更换新的油烟机，而且中途污染两次自己的食材，要求针对此进行赔偿，现在又出现新问题，自己需要去绑定户号、电号，但是对方没办法提供正确的户号，也无法告知自己正确的户名，导致自己无法在电网上查询信息，没办法看到自己的电费明细，并且要求告知不赔偿的理由， 市民称无人联系处理，要求自如联系自己，更换管家，来电反映租房油烟机掉落以及电网户名户号信息等问题。 ",2026-04-15 13:06:22,自如,住房>房产中介>服务水平差,密云区-兴盛南路***
热线-260601-039700,协调长城宽带退费问题,"1.号码归属地：北京地区 
2.涉及相关号码：***
3.所属运营商：长城宽带 
4.业务类型：网络类
5.具体诉求：宽带费争议 
6.其他问题：自家的宽带通由于网速太慢，申请了退款，对方也答应了退1500多元，但钱一直没有到账，2024年4月断网，长城宽带说4-6个月才能给自己退，市民表示2025年4月申请退费，现在马上一年了，一直没退，自己每次联系长城宽带，每次都说在办理中，在走流程，自己想知道走什么流程走了一年多，现在走到哪一步了，北京市通信管理局给自己回复让网上投诉，但不给自己网址，有部门（具体不详）联系自己，让自己耐心等待，自己不认可，自己已经等一年了，客服还直接挂电话了，来电希望协调长城宽带退费问题。",2026-06-01 14:11:07,北京市通信管理局,公共服务>网络与通讯>资费,学院路35号世宁大厦***
热线-260215-028715,协调快手退费问题,市民反映，自己的孩子是未成年，快手账号：***，在快手上看直播，消费打赏1906元，自己联系快手处理退费，快手说只退百分之70的费用，市民对此不认可，需要全额退费，来电反映协调快手退费问题。,2026-02-15 15:55:45,海淀区分中心,科体文宣>文化>网络视听（网络直播、视频网站、网络表演等）,西二旗西路16号院***
热线-260318-057834,臻御府小区8号楼南侧绿植否是开发商原有规划设计问题,市民反映，丰台区臻御府小区8号楼南侧有一篇两米高的绿植，想了解是否是开发商原有规划设计，希望相关部门核实回复自己，来电反映臻御府小区8号楼南侧绿植否是开发商原有规划设计问题。,2026-03-18 17:19:36,丰台区花乡街道,住房>小区配套>公共绿地,北京市丰台区总部基地郭公庄地铁站B出口100米左右-
网络-260604-027067,吉祥路违建问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：违建
留言原文：邻居家私自焊护栏，占位己有，政府出面与他家沟通让他家拆除，到至今为止都没有拆，而且这个路是公家道，不让我们走，因为这个多次跟我家争吵
市民填写的详细地址为：区、街道：顺义区北小营镇详细地址：吉祥路
注：见附件",2026-06-04 11:35:57,顺义区北小营镇,城乡建设>违法建设>已建违建,吉祥路
